,Language: AKKADIAN
,Tested Clean Values
,LUHŠAMEŠ,1,0.0,1.0,( luḥšamu | LUHŠAMEŠ EDIN )
Nabu-ahu-uṣur I,1,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,{m}{d}+AGPABMU,1,0.0,1.0,( pabum | LUGAL TIN.TIR{ki} ṣupur u {m}{d}+AGPABMU )
batultu I,5,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,batulatu₂,1,0.0,1.0,( batulatu | [MASK] [MASK] [MASK] ša₂ kibaatu₂ batulatu₂ )
,batulatu,1,0.0,1.0,( batulu | [MASK] ša₂ qe₂maatu₂ batulatu marti )
,KI.SIKIL.LA₂MEŠ,1,0.0,1.0,( kiššatu )
,batultu,1,0.0,1.0,( batultu | batultu atti )
,SAL.KAL.TUR,1,0.0,1.0,( salālu | enuma KI SAL.KAL.TUR uštahhuu₂ )
kintillû I,1,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,kintille,1,0.0,1.0,( kintillu | ina kintille [MASK] rabiš )
kinattūtu I,2,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,kinatutu,1,0.0,1.0,( kinātu | [MASK] [MASK] [MASK] kinatutu )
,kinatuti,1,0.0,1.0,( kinātu | [MASK] [MASK] [MASK] [MASK] ašar kinatuti )
lazzu I,1,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,laazzi,1,0.0,1.0,( lazzu | [MASK] GARšu₂ GIM U₂ [MASK] [MASK] GIM [MASK] {u₂}IGI20 [MASK] ana GIG laazzi )
nasāsu I,1,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,u₂nasaas,1,0.0,1.0,( nasašu | ul u₂nasaas )
alahittu I,1,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,alahiitti,1,0.0,1.0,( alahiṭu | ana alahiitti hepiti ana butuumbi liirdima )
sukinnu I,1,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,suqan,1,0.0,1.0,( sūqu | lu [MASK] lu suqan ikbusu )
